County,State,Total population,Median age,Total population 18 and over,Total population 65 years and over,Male population,Female population,Location 1
Autauga County,Alabama,54571,37,39958,6546,26569,28002,"(32.533470000000001, -86.649979999999999)"
Baldwin County,Alabama,182265,41.1,140367,30568,89196,93069,"(30.75047, -87.766660000000002)"
Barbour County,Alabama,27457,39,21442,3909,14576,12881,"(31.883489999999998, -85.449939999999998)"
Bibb County,Alabama,22915,37.799999999999997,17714,2906,12301,10614,"(33.000399999999999, -87.15)"
Blount County,Alabama,57322,39,43216,8439,28362,28960,"(33.966769999999997, -86.583320000000001)"
Bullock County,Alabama,10914,38.5,8484,1469,5912,5002,"(32.06682, -85.699950000000001)"
Butler County,Alabama,20947,40.1,15891,3489,9838,11109,"(31.829319999999999, -86.620810000000006)"
Calhoun County,Alabama,118572,38.200000000000003,91446,16990,57176,61396,"(33.75038, -85.849969999999999)"
Chambers County,Alabama,34215,41.5,26512,5706,16363,17852,"(32.883459999999999, -85.399950000000004)"
Cherokee County,Alabama,25989,43.9,20423,4651,12888,13101,"(34.183430000000001, -85.449960000000004)"
Chilton County,Alabama,43643,37.6,32683,5921,21608,22035,"(32.866790000000002, -86.683319999999995)"
Choctaw County,Alabama,13859,43.4,10718,2519,6688,7171,"(32.01681, -88.266689999999997)"
Clarke County,Alabama,25833,40.200000000000003,19444,4174,12214,13619,"(31.683489999999999, -87.8)"
Clay County,Alabama,13932,42,10788,2449,6833,7099,"(33.266779999999997, -85.849959999999996)"
Cleburne County,Alabama,14972,40.6,11421,2361,7453,7519,"(33.66677, -85.516620000000003)"
Coffee County,Alabama,49948,37.6,37864,7210,24684,25264,"(31.416830000000001, -86.000219999999999)"
Colbert County,Alabama,54428,41.8,42394,9463,26159,28269,"(34.683419999999998, -87.816699999999997)"
Conecuh County,Alabama,13228,43,10186,2362,6412,6816,"(31.466830000000002, -86.983310000000003)"
Coosa County,Alabama,11539,44.2,9169,1970,5727,5812,"(32.933459999999997, -86.249690000000001)"
Covington County,Alabama,37765,42.4,29242,6939,18288,19477,"(31.266839999999998, -86.449960000000004)"
Crenshaw County,Alabama,13906,40.700000000000003,10598,2210,6714,7192,"(31.73349, -86.316630000000004)"
Cullman County,Alabama,80406,39.9,61765,12810,39719,40687,"(34.133429999999997, -86.866669999999999)"
Dale County,Alabama,50251,36.1,37774,6759,24825,25426,"(31.45017, -85.649940000000001)"
